Product,Url,Img,Shop,Price,Old Price,Status,Specs,Brand
Laptop Dell Latitude 3430 L3430I58G256SSD (i5 1235U/ 8GB/ 256GB SSD/14 inch/NoOS/ Black/1Y),/laptop-dell-latitude-3430-l3430i58g256ssd.html,https://phucanhcdn.com/media/product/250_54480_20.jpg,phucanh,14390000,16990000,Có hàng,Bộ VXL: : Core i5 1235U 1.3GHz|| Bộ nhớ RAM: : 8Gb DDR4 3200|| Ổ cứng: : 256GB SSD|| Card màn hình: : VGA onboard - Intel Iris Xe Graphics|| Kích thước màn hình: : 14.0inch|| Cổng giao tiếp: : 1x USB 3.2 Gen 2 Type-C port with DisplayPort/Power Delivery1x USB 3.2 Gen 1 port1x USB 3.2 Gen 1 port with PowerShare1x USB 2.0 port1 x HDMI 1.4b port|| Hệ điều hành: : NoOS|| Kích thước: : 326 x 226 x 17.6 mm|| Màu sắc: : Black|| Chất liệu: :,Dell
Laptop HP 15s fq5160TU 7C0S1PA (i5 1235U/ 16GB/ 512GB SSD/15.6 inch FHD/Win11/ Bạc),/laptop-hp-15s-fq5160tu-7c0s1pa.html,https://phucanhcdn.com/media/product/250_50231_laptop_hp_15s_fq5160tu_7c0s1pa_thumb.jpg,phucanh,15490000,17690000,Có hàng,Bộ VXL: : Core i5 1235U 1.3GHz|| Bộ nhớ RAM: : 16Gb (2x8Gb) DDR4 3200|| Ổ cứng: : 512Gb SSD|| Card màn hình: : VGA Intel Iris - Intel Iris Xe Graphics|| Kích thước màn hình: : 15.6inch Full HD|| Cổng giao tiếp: : 1 SuperSpeed USB Type-C® 5Gbps signaling rate; 2 SuperSpeed USB Type-A 5Gbps signaling rate; 1 HDMI 1.4b; 1 AC smart pin; 1 headphone/microphone combo|| Hệ điều hành: : Windows 11 Home|| Kích thước: : 35.85 x 24.2 x 1.79 cm|| Màu sắc: : Bạc,HP
Laptop Lenovo V15 G4 IRU (i5 13420H/ 8GB/ 512GB SSD/ 15.6 inch FHD/ Win11/ 2Y),/laptop-lenovo-v15-g4-iru-83a100fyvn.html,https://phucanhcdn.com/media/product/250_54998_laptop_lenovo_v15_g4_iru_83a100fyvn_thumb123.jpg,phucanh,13890000,14490000,Có hàng,"Bộ VXL: : Core i5 13420H 2.1GHz|| Bộ nhớ RAM: : 8Gb (Onboard) DDR4 3200|| Ổ cứng: : 512Gb SSD|| Card màn hình: : VGA onboard - Intel Iris Xe Graphics|| Kích thước màn hình: : 15.6inch Full HD|| Cổng giao tiếp: : 1x USB 2.01x USB 3.2 Gen 11x USB-C® 3.2 Gen 1 (support data transfer, Power Delivery 3.0 and DisplayPort™ 1.2)1x HDMI® 1.4b1x Headphone / microphone combo jack (3.5mm)1x Ethernet (RJ-45)1x Power connector|| Hệ điều hành: : Windows 11 Home|| Kích thước: : 359.8 x 235.3 x 19.5-19.5 mm|| Màu sắc: : Grey|| Chất liệu: : ABS",Lenovo
Laptop Dell Vostro 3430 71011900 (i5 1335U/ 8GB/ 512GB SSD/14 inch FHD/Win 11/ Office/ Titan Grey/1Y),/laptop-dell-vostro-3420-71003348-core-i5-1335u-8gb-512gb-ssd-intel-iris-xe-graphics-140inch-full-hd-windows-11-home-office-student-titan-grey-1-year.html,https://phucanhcdn.com/media/product/250_51313_1000x1000_th_____ng__1_.jpg,phucanh,16490000,17890000,Có hàng,Bộ VXL: : Core i5 1335U 1.3GHz|| Bộ nhớ RAM: : 8Gb DDR4 3200|| Ổ cứng: : 512Gb SSD|| Card màn hình: : VGA Intel Iris - Intel Iris Xe Graphics|| Kích thước màn hình: : 14.0inch Full HD|| Cổng giao tiếp: : 1 Cổng USB 3.2 Gen 1 Type-C1 Cổng USB 3.2 Gen 11 Cổng USB 2.01 Cổng tai nghe (bộ tai nghe và micrô)1 Cổng HDMI 1.41 Cổng Ethernet RJ45|| Hệ điều hành: : Windows 11 Home + Office Student|| Kích thước: : 321 x 220 x 18.6 mm|| Màu sắc: : Titan Grey|| Chất liệu: :,Dell
Laptop HP 240 G9 9T2G2PT (i5 1235U/ 16GB/ 512GB SSD/ 14 inch FHD/ Win11/ Silver),/laptop-hp-240-g9-9t2g2pt.html,https://phucanhcdn.com/media/product/250_55443_laptop_hp_240_g9_9t2g2pt_h_thumb.jpg,phucanh,15790000,17990000,Có hàng,"Bộ VXL: : Core i5 1235U 1.3GHz|| Bộ nhớ RAM: : 16Gb DDR4 3200|| Ổ cứng: : 512Gb SSD|| Card màn hình: : VGA onboard - Intel Iris Xe Graphics|| Kích thước màn hình: : 14.0inch Full HD|| Cổng giao tiếp: : I/O ports: 2 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C, 1 x HDMI, 1 x RJ45|| Hệ điều hành: : Windows 11 Home|| Kích thước: : 279 x 191 x 16.9-16.9 mm|| Màu sắc: : Silver",HP
Laptop HP 14s dq5122TU 8W356PA (i3 1215U/ 8GB/ 256GB SSD/14 inch FHD/Win11/ Silver),/laptop-hp-14s-dq5122tu-8w356pa.html,https://phucanhcdn.com/media/product/250_52887_laptop_hp_14s_dq5122tu_8w356pa_thumb.jpg,phucanh,9990000,10990000,Có hàng,Bộ VXL: : Core i3 1215U 1.2GHz|| Bộ nhớ RAM: : 8Gb DDR4 3200|| Ổ cứng: : 256GB SSD|| Card màn hình: : VGA onboard - Intel UHD Graphics|| Kích thước màn hình: : 14.0inch Full HD|| Cổng giao tiếp: : 1 SuperSpeed USB Type-C® 5Gbps signaling rate; 2 SuperSpeed USB Type-A 5Gbps signaling rate; 1 HDMI 1.4b; 1 AC smart pin; 1 headphone/microphone combo|| Hệ điều hành: : Windows 11 Home|| Kích thước: : 32.4 x 22.5 x 1.79 cm|| Màu sắc: : Silver,HP
Laptop Lenovo V14 G4 IRU (i5 13420H/ 16GB/ 512GB SSD/14 inch FHD/NoOS/ Black/1Y),/laptop-lenovo-v14-g4-iru-i5-13420h.html,https://phucanhcdn.com/media/product/250_54793_laptop_lenovo_v14_g4_iru_83a0a09kvn_thumb123.jpg,phucanh,12790000,13490000,Có hàng,"Bộ VXL: : Core i5 13420H 2.1GHz|| Bộ nhớ RAM: : 16Gb (8Gb onboard + 1 khe rời) DDR4 3200|| Ổ cứng: : 512Gb SSD|| Card màn hình: : VGA onboard - Intel UHD Graphics|| Kích thước màn hình: : 14.0inch Full HD|| Cổng giao tiếp: : 1x Ethernet (RJ-45)1x HDMI® 1.4b1x Headphone / microphone combo jack (3.5mm)1x Power connector1x USB 2.01x USB 3.2 Gen 11x USB-C® 3.2 Gen 1 (support data transfer, Power Delivery 3.0 and DisplayPort™ 1.2)|| Hệ điều hành: : NoOS|| Kích thước: : 324 x 215 x 19.5 mm|| Màu sắc: : Black|| Chất liệu: : ABS",Lenovo
Laptop HP 15s fq5231TU 8U241PA (i3 1215U/ 8GB/ 256GB SSD/15.6 inch FHD/Win11/ Silver),/laptop-hp-15s-fq5231tu-8u241pa.html,https://phucanhcdn.com/media/product/250_52844_laptop_hp_15s_fq5231tu_8u241pa_thumb.jpg,phucanh,10090000,11900000,Có hàng,Bộ VXL: : Core i3 1215U 1.2GHz|| Bộ nhớ RAM: : 8Gb DDR4 3200|| Ổ cứng: : 256GB SSD|| Card màn hình: : VGA onboard - Intel UHD Graphics|| Kích thước màn hình: : 15.6inch Full HD|| Cổng giao tiếp: : 1 USB Type-C 5Gbps signaling rate (supports data transfer only and does not support charging or external monitors); 2 USB Type-A 5Gbps signaling rate; 1 AC smart pin; 1 HDMI 1.4b; 1 headphone/microphone combo|| Hệ điều hành: : Windows 11 Home|| Kích thước: : 35.85 x 24.2 x 1.79 cm|| Màu sắc: : Silver,HP
Laptop Lenovo V15 G4 IRU (i3 1315U/ 8GB/ 512GB SSD/15.6 inch FHD/Win11/ Grey/2Y),/laptop-lenovo-v15-g4-iru-83a1000nvn.html,https://phucanhcdn.com/media/product/250_54618_laptop_lenovo_v15_g4_iru_83a1000nvn_thumb.jpg,phucanh,10490000,12590000,Có hàng,"Bộ VXL: : Core i3 1315U 1.2GHz|| Bộ nhớ RAM: : 8Gb (Onboard) DDR4 3200|| Ổ cứng: : 512Gb SSD|| Card màn hình: : VGA onboard - Intel UHD Graphics|| Kích thước màn hình: : 15.6inch Full HD|| Cổng giao tiếp: : 1x USB 2.01x USB 3.2 Gen 11x USB-C 3.2 Gen 1 (support data transfer, Power Delivery 3.0 and DisplayPort 1.2)1x HDMI 1.4b1x Ethernet (RJ-45)1x Headphone / microphone combo jack (3.5mm)1x Power connector|| Hệ điều hành: : Windows 11 Home|| Kích thước: : 359.8 x 235.3 x 19.5-19.5 mm|| Màu sắc: : Grey|| Chất liệu: : Vỏ nhựa",Lenovo
Laptop HP Pavilion 15-eg3093TU 8C5L4PA (i5 1335U/ 16GB/ 512GB SSD/15.6 inch FHD/Win11/ Gold/ Vỏ nhôm),/laptop-hp-pavilion-15-eg3093tu-8c5l4pa.html,https://phucanhcdn.com/media/product/250_52093_laptop_hp_pavilion_15_eg3093tu_8c5l4pa_thumb.jpg,phucanh,18490000,20290000,Có hàng,"Bộ VXL: : Core i5 1335U 1.3GHz|| Bộ nhớ RAM: : 16Gb (2x8Gb) DDR4 3200|| Ổ cứng: : 512Gb SSD|| Card màn hình: : VGA onboard - Intel Iris Xe Graphics|| Kích thước màn hình: : 15.6inch Full HD|| Cổng giao tiếp: : 2 x USB 3.2 Gen 1 Type-A ; 1 x USB 3.2 Gen 2 Type-C (USB Power Delivery, DisplayPort, HP Sleep & Charge) ; 1 x HDMI ; 1 x Headphone/ Microphone combo audio jack|| Hệ điều hành: : Windows 11 Home|| Kích thước: : 36.02 x 23.4 x 1.8 cm|| Màu sắc: : Gold|| Chất liệu: : Hợp kim nhôm",HP
