Product,Url,Img,Shop,Price,Old Price,Status,Specs
Lenovo Gaming LOQ 15IAX9 i5-12450HX (83GS001RVN),https://fptshop.com.vn/may-tinh-xach-tay/lenovo-gaming-loq-15iax9-i5-12450hx-12gb-rtx3050,https://images.fpt.shop/unsafe/fit-in/filters:quality(90):fill(white):upscale()/fptshop.com.vn/Uploads/Originals/2024/2/15/638435905526202438_lenovo-gaming-loq-15iax-9-i5-12450hx-led-trang-dd.jpg,fpt,19990000.0,23990000.0,có hàng,Đồ họa: NVIDIA GeForce RTX 3050 6GB|| Màn hình: 15.6 inch|| CPU: Core i5|| RAM: 12 GB|| Ổ cứng: SSD 512 GB|| Trọng lượng: 2.38 kg
HP 245 G10 R5-7520U (9H8X8PT),https://fptshop.com.vn/may-tinh-xach-tay/hp-245-g10-r5-7520u-9h8x8pt,https://images.fpt.shop/unsafe/fit-in/filters:quality(90):fill(white):upscale()/fptshop.com.vn/Uploads/Originals/2023/8/22/638283012469903137_hp-245-g10-bac-dd.jpg,fpt,10290000.0,13290000.0,có hàng,Màn hình: 14 inch|| CPU: Ryzen 5|| RAM: 8 GB (1 thanh 8 GB)|| Ổ cứng: SSD 256 GB|| Trọng lượng: 1.36 kg
Asus TUF Gaming FX507ZC4-HN095W i5 12500H,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-fx507zc4-hn095w-i5-12500h,https://images.fpt.shop/unsafe/fit-in/filters:quality(90):fill(white):upscale()/fptshop.com.vn/Uploads/Originals/2023/7/4/638240754748140607_asus-tuf-gaming-fx507-xam-dd.jpg,fpt,20990000.0,24990000.0,có hàng,Đồ họa: NVIDIA GeForce RTX 3050 4GB|| Màn hình: 15.6 inch|| CPU: Core i5|| RAM: 16 GB (2 thanh 8 GB)|| Ổ cứng: SSD 512 GB|| Trọng lượng: 2.2 kg
Acer Aspire 5 A515-58GM-53PZ i5 13420H,https://fptshop.com.vn/may-tinh-xach-tay/acer-gaming-aspire-5-a515-58gm-53pz-i5-13420h,https://images.fpt.shop/unsafe/fit-in/filters:quality(90):fill(white):upscale()/fptshop.com.vn/Uploads/Originals/2024/2/23/638442807039857417_acer-gaming-aspire-5-a515-58-xam-dd.jpg,fpt,15890000.0,20490000.0,có hàng,Đồ họa: NVIDA Geforce RTX 2050 4GB|| Màn hình: 15.6 inch|| CPU: Core i5|| RAM: 8 GB|| Ổ cứng: SSD 512 GB|| Trọng lượng: 1.7 kg
Lenovo IdeaPad 3 14IAH8 i5 12450H (83EQ0005VN),https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-3-14iah8-i5-12450h,https://images.fpt.shop/unsafe/fit-in/filters:quality(90):fill(white):upscale()/fptshop.com.vn/Uploads/Originals/2023/8/15/638276943814453136_lenovo-ideapad-3-14iah8-xam-dd.jpg,fpt,13890000.0,15990000.0,có hàng,Đồ họa: Intel UHD Graphics|| Màn hình: 14.0 inch|| CPU: Core i5|| RAM: 16 GB (2 thanh 8 GB)|| Ổ cứng: SSD 512 GB|| Trọng lượng: 1.37 kg
Dell Vostro V3520 i5 1235U_71030559,https://fptshop.com.vn/may-tinh-xach-tay/dell-vostro-v3520-i5-1235u,https://images.fpt.shop/unsafe/fit-in/filters:quality(90):fill(white):upscale()/fptshop.com.vn/Uploads/Originals/2023/11/2/638345294135271615_dell-vostro-v3520-xam-dd.jpg,fpt,16490000.0,17290000.0,có hàng,Đồ họa: Intel Iris Xe Graphics|| Màn hình: 15.6 inch|| CPU: Core i5|| RAM: 16 GB|| Ổ cứng: SSD 512 GB|| Trọng lượng: 1.9 kg
Asus TUF Gaming A15 FA506NF-HN005W R5-7535HS,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-a15-fa506nf-hn005w-r5-7535hs,https://images.fpt.shop/unsafe/fit-in/filters:quality(90):fill(white):upscale()/fptshop.com.vn/Uploads/Originals/2024/2/16/638436898801978253_asus-tuf-gaming-a15-fa506nc-dd.jpg,fpt,16290000.0,19990000.0,có hàng,Đồ họa: NVIDIA GeForce RTX 2050 4GB GDDR6|| Màn hình: 15.6 inch|| CPU: Ryzen 5|| RAM: 8 GB (1 thanh 8 GB)|| Ổ cứng: SSD 512 GB|| Trọng lượng: 2.3 kg
HP 14s-em0086AU R5 7520U (835T9PA),https://fptshop.com.vn/may-tinh-xach-tay/hp-14s-em0086au-r5-7520u,https://images.fpt.shop/unsafe/fit-in/filters:quality(90):fill(white):upscale()/fptshop.com.vn/Uploads/Originals/2023/4/11/638168318097684459_hp-14s-em0080au-r3-7320u-bac-dd.jpg,fpt,13490000.0,15190000.0,có hàng,Đồ họa: AMD Radeon Graphics|| Màn hình: 14 inch|| CPU: Ryzen 5|| RAM: 16 GB|| Ổ cứng: SSD 512 GB|| Trọng lượng: 1.4 kg
MSI Gaming Thin GF63 12VE-454VN i5 12450H,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-thin-gf63-12ve-454vn-i5-12450h,https://images.fpt.shop/unsafe/fit-in/filters:quality(90):fill(white):upscale()/fptshop.com.vn/Uploads/Originals/2023/3/7/638137864184249502_msi-gaming-gf63-thin-11uc-den-dd.jpg,fpt,18990000.0,22990000.0,có hàng,Đồ họa: NVIDIA GeForce RTX 4050 6GB GDDR6|| Màn hình: 15.6 inch|| CPU: Core i5|| RAM: 16 GB|| Ổ cứng: SSD 512 GB|| Trọng lượng: 1.86 kg
HP 240 G10 i3-N305 (8U7D8PA),https://fptshop.com.vn/may-tinh-xach-tay/hp-240-g10-i3-n3058,https://images.fpt.shop/unsafe/fit-in/filters:quality(90):fill(white):upscale()/fptshop.com.vn/Uploads/Originals/2024/4/5/638479270497069231_hp-240-g10-i3-n3058-dd.jpg,fpt,9290000.0,11990000.0,có hàng,Đồ họa: Intel UHD Graphics|| Màn hình: 14 inch|| CPU: Core i3|| RAM: 8 GB (1 thanh 8 GB)|| Ổ cứng: SSD 256 GB|| Trọng lượng: 1.37 kg
