Phucanh product,Gearvn product,Fpt product,Gearvn similarity,Fpt similarity
HP 14s dq5122TU 8W356PA,HP Pavilion 15 eg3112TU 8U6L9PA,HP 14s-dq5121TU i3-1215U,0.5185185185185186,0.6808510638297872
Lenovo IdeaPad Slim 3 14IAH8,Lenovo IdeaPad Slim 5 14IMH9 83DA001NVN,Lenovo IdeaPad Slim 5 16IAH8 i5 12450H,0.7761194029850746,0.7878787878787878
Lenovo ThinkPad E15 GEN 4 21E600FBVA,Lenovo ThinkPad E16 Gen 1 21JN005MVN,Lenovo ThinkPad E16 G1 i5 13500H,0.75,0.7352941176470589
Dell Inspiron 3520 N5I5011W1,Dell Inspiron 3530 N3530I716W1 Silver,Dell Inspiron 15 N3520 i5 1235U_N5I5011W1,0.7384615384615385,0.8115942028985508
HP 15s fq5160TU 7C0S1PA,HP Pavilion 15 eg3091TU 8C5L2PA,HP 15s fq5160TU i5 1235U,0.4814814814814815,0.7234042553191489
HP 15s fq5228TU 8U240PA,HP Pavilion 15 eg3112TU 8U6L9PA,HP 15s-fq5228TU i3-1215U,0.5185185185185186,0.6808510638297872
HP 14s dq5121TU 8W355PA,gaming HP OMEN 16 wf0129TX 8W943PA,HP 14s-dq5121TU i3-1215U,0.49122807017543857,0.7234042553191489
HP Pavilion 15-eg3093TU 8C5L4PA,HP Pavilion 15 eg3093TU 8C5L4PA,HP Pavilion 15-eg2083TU i5 1240P,0.967741935483871,0.7936507936507937
Dell Latitude 3430 L3430I58G256SSD,Dell Latitude 3520 P108F001 70280538,Dell Vostro V3520 i5 1235U_71030559,0.6,0.4347826086956522
Dell Inspiron 3530 N3530I716W1,Dell Inspiron 3530 N3530I716W1 Silver,Dell Inspiron 15 N3530 i7 1355U,0.8955223880597015,0.7540983606557377
Asus Vivobook 14 OLED A1405VA-KM095W,ASUS Vivobook 14 OLED A1405VA KM095W,Asus Vivobook A1405VA-KM059W i5 13500H,0.8888888888888888,0.7297297297297297
Dell Vostro 3430 71011900,Dell Vostro 3430 71011900,Dell Vostro V3520 i5 1235U_71030559,1.0,0.6333333333333333
Asus Vivobook 15 OLED A1505VA-L1114W,Asus Vivobook 15 OLED A1505VA L1114W,Asus Vivobook 15 OLED A1505VA-L1113W i5 13500H,0.9722222222222222,0.8536585365853658
HP 15 fd0083TU 8D736PA,HP Pavilion 15 eg3111TU 8U6L8PA,HP 15-fd0083TU i7 1355U,0.5283018867924528,0.7111111111111111
HP 15 fd0235TU 9Q970PA,HP Pavilion 15 eg3093TU 8C5L4PA,HP 15-fd0235TU i5-1334U,0.49056603773584906,0.6222222222222222
Dell Inspiron T7430 N7430I58W1,Dell Inspiron T7430 N7430I58W1 Silver,Dell Inspiron 14 2in1 T7430 i7 1355U,0.8955223880597015,0.696969696969697
Dell Inspiron 3520 I5U085W11BLU,Dell Inspiron 15 3530 i5U085W11BLU,Dell Inspiron 15 N3520 i5 1235U,0.8923076923076922,0.7096774193548387
Lenovo V15 G3 AMN 82YU00V9VN,Lenovo V14 G4 IAH 83FR000UVN,Lenovo V15 G4 AMN R5 7520U,0.6785714285714286,0.7037037037037037
HP Pavilion 15-eg3111TU 8U6L8PA,HP Pavilion 15 eg3111TU 8U6L8PA,HP Pavilion 15-eg3111TU i5 1335U,0.967741935483871,0.7936507936507937
Lenovo V14 G4 IRU 83A0A09KVN,Lenovo V14 G4 IRU 83A0000TVN,Lenovo V14 G4 IRU i5 1335U,0.8928571428571429,0.7037037037037037
HP Pavilion 15-eg3094TU 8C5L5PA,HP Pavilion 15 eg3091TU 8C5L2PA,HP Pavilion 15-eg3095TU i5 1335U,0.9032258064516129,0.7936507936507937
Dell Vostro 3430 71026453,Dell Vostro 3430 71011900,Dell Vostro V3520 i5 1235U_71030559,0.8,0.6333333333333333
HP 15s fq5231TU 8U241PA,HP Pavilion 15 eg3091TU 8C5L2PA,HP 15s-fq5230TU i3-1215U,0.5555555555555556,0.6808510638297872
Dell Vostro 3520 5M2TT2,Dell Vostro 3530 V5I5267W1 Gray,Dell Vostro V3520 i5 1235U_71030559,0.6666666666666667,0.6551724137931034
Dell Inspiron 3520 71027003,Dell Inspiron 15 3520 i3U082W11BLU,Dell Inspiron 15 N3520 i5 1235U,0.6885245901639344,0.7586206896551724
Dell Inspiron 3530 I5U085W11BLU,Dell Inspiron 15 3530 i5U085W11BLU,Dell Inspiron 15 N3530 i5 1335U,0.9230769230769231,0.7096774193548387
Lenovo ThinkBook 16 G6 IRL 21KH00C6VN,Lenovo ThinkPad E16 Gen 1 21JN005MVN,Lenovo ThinkBook 16 G6 IRL i5-13500H,0.6849315068493151,0.821917808219178
Lenovo V14 G4 IAH,Lenovo V14 G4 IAH 83FR000UVN,Lenovo V14 G4 IRU i5 1335U,0.7555555555555555,0.6976744186046512
Dell Vostro 3430 71021669,Dell Vostro 3430 71011900,Dell Vostro V3520 i5 1235U_71030559,0.88,0.6333333333333333
Asus Vivobook 15 X1504VA-NJ070W,Asus Vivobook 15 OLED A1505VA L1201W,Asus Vivobook X1504VA-NJ526W i5 1335U,0.7164179104477613,0.7352941176470589
Dell Vostro 5630 THT7N,Dell Vostro 3430 71011900,Dell Vostro V3520 i5 1235U_71030559,0.6808510638297872,0.5614035087719298
Dell Vostro 3530 V5I3465W1,Dell Vostro 3530 V5I3465W1 Gray,Dell Vostro V3520 i5 1235U_71030559,0.9122807017543859,0.6557377049180328
Lenovo ThinkBook 16 G6 IRL,Lenovo ThinkPad E16 Gen 1 21JN005MVN,Lenovo ThinkBook 16 G6 IRL i5-13500H,0.5806451612903225,0.8387096774193549
