Product,Img,Product Url,Shop,Price,Old Price,Specs
HP 245 G10 R5-7520U (9H8X8PT),https://images.fpt.shop/unsafe/fit-in/filters:quality(90):fill(white):upscale()/fptshop.com.vn/Uploads/Originals/2023/8/22/638283012469903137_hp-245-g10-bac-1.jpg,https://fptshop.com.vn/may-tinh-xach-tay/hp-245-g10-r5-7520u-9h8x8pt,fpt,10790000,13290000,"<div class=""cdt-product__config__param""><span data-title=""Màn hình""><i class=""icon-screen-size""></i>14 inch</span><span data-title=""CPU""><i class=""icon-cpu""></i>Ryzen 5</span><span data-title=""RAM""><i class=""icon-ram""></i>8 GB (1 thanh 8 GB)</span><span data-title=""Ổ cứng""><i class=""icon-hdd-black""></i>SSD 256 GB</span><span data-title=""Trọng lượng""><i class=""icon-weight""></i>1.36 kg</span></div>"
Asus Vivobook E1404FA-NK186W R5 7520U,https://images.fpt.shop/unsafe/fit-in/filters:quality(90):fill(white):upscale()/fptshop.com.vn/Uploads/Originals/2023/4/11/638168280594574722_asus-vivobook-e1404fa-nk186w-r5-7520u-den-5.jpg,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-e1404fa-nk186w-r5-7520u,fpt,12490000,14990000,"<div class=""cdt-product__config__param""><span data-title=""Đồ họa""><i class=""icon-vga""></i>AMD Radeon Graphics</span><span data-title=""Màn hình""><i class=""icon-screen-size""></i>14.0 inch</span><span data-title=""CPU""><i class=""icon-cpu""></i>Ryzen 5</span><span data-title=""RAM""><i class=""icon-ram""></i>16 GB</span><span data-title=""Ổ cứng""><i class=""icon-hdd-black""></i>SSD 512 GB</span><span data-title=""Trọng lượng""><i class=""icon-weight""></i>1.3 kg</span></div>"
Lenovo Gaming LOQ - 15IAX9 i5 12450HX  (83GS000GVN),https://images.fpt.shop/unsafe/fit-in/filters:quality(90):fill(white):upscale()/fptshop.com.vn/Uploads/Originals/2024/2/15/638435927047171103_lenovo-gaming-loq-15iax-9-i5-12450hx-led-trang-1.jpg,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-gaming-loq-15iax-9-i5-12450hx,fpt,18990000,21490000,"<div class=""cdt-product__config__param""><span data-title=""Đồ họa""><i class=""icon-vga""></i>NVIDIA GeForce RTX 2050 4GB GDDR6</span><span data-title=""Màn hình""><i class=""icon-screen-size""></i>15.6 inch</span><span data-title=""CPU""><i class=""icon-cpu""></i>Core i5</span><span data-title=""RAM""><i class=""icon-ram""></i>16 GB (2 thanh 8 GB)</span><span data-title=""Ổ cứng""><i class=""icon-hdd-black""></i>SSD 512 GB</span><span data-title=""Trọng lượng""><i class=""icon-weight""></i>2.38 kg</span></div>"
HP 14s-em0086AU R5 7520U (835T9PA),https://images.fpt.shop/unsafe/fit-in/filters:quality(90):fill(white):upscale()/fptshop.com.vn/Uploads/Originals/2023/4/11/638168318098594588_hp-14s-em0080au-r3-7320u-bac-1.jpg,https://fptshop.com.vn/may-tinh-xach-tay/hp-14s-em0086au-r5-7520u,fpt,13690000,15190000,"<div class=""cdt-product__config__param""><span data-title=""Đồ họa""><i class=""icon-vga""></i>AMD Radeon Graphics</span><span data-title=""Màn hình""><i class=""icon-screen-size""></i>14 inch</span><span data-title=""CPU""><i class=""icon-cpu""></i>Ryzen 5</span><span data-title=""RAM""><i class=""icon-ram""></i>16 GB</span><span data-title=""Ổ cứng""><i class=""icon-hdd-black""></i>SSD 512 GB</span><span data-title=""Trọng lượng""><i class=""icon-weight""></i>1.4 kg</span></div>"
MSI Modern 14 C7M-221VN R7 7730U,https://images.fpt.shop/unsafe/fit-in/filters:quality(90):fill(white):upscale()/fptshop.com.vn/Uploads/Originals/2023/8/14/638276090577856519_msiI-modern-14-c7m-221vn-r7-7730u-1.jpg,https://fptshop.com.vn/may-tinh-xach-tay/msiI-modern-14-c7m-221vn-r7-7730u,fpt,11490000,14490000,none
Acer Aspire 3 A315-44P-R5QG R7-5700U,https://images.fpt.shop/unsafe/fit-in/filters:quality(90):fill(white):upscale()/fptshop.com.vn/Uploads/Originals/2022/3/7/637822560588852335_acer-aspire-3-a315-58-bac-1.jpg,https://fptshop.com.vn/may-tinh-xach-tay/acer-aspire-3-a315-44p-r5qg-r7-5700u,fpt,12490000,14990000,"<div class=""cdt-product__config__param""><span data-title=""Đồ họa""><i class=""icon-vga""></i>AMD Radeon Graphics</span><span data-title=""Màn hình""><i class=""icon-screen-size""></i>15.6 inch</span><span data-title=""CPU""><i class=""icon-cpu""></i>Ryzen 7</span><span data-title=""RAM""><i class=""icon-ram""></i>16 GB</span><span data-title=""Ổ cứng""><i class=""icon-hdd-black""></i>SSD 512 GB</span><span data-title=""Trọng lượng""><i class=""icon-weight""></i>1.7 kg</span></div>"
HP Pavilion Aero 13-be2098AU R7 7735U (8C5K5PA),https://images.fpt.shop/unsafe/fit-in/filters:quality(90):fill(white):upscale()/fptshop.com.vn/Uploads/Originals/2023/8/24/638284697135623321_hp-pavilion-aero-13-bac-1.jpg,https://fptshop.com.vn/may-tinh-xach-tay/hp-pavilion-aero-13-be2098au-r7-7735u,fpt,19690000,21990000,"<div class=""cdt-product__config__param""><span data-title=""Đồ họa""><i class=""icon-vga""></i>AMD Radeon Graphics</span><span data-title=""Màn hình""><i class=""icon-screen-size""></i>13.3 inch</span><span data-title=""CPU""><i class=""icon-cpu""></i>Ryzen 7</span><span data-title=""RAM""><i class=""icon-ram""></i>16 GB (1 thanh 16 GB)</span><span data-title=""Ổ cứng""><i class=""icon-hdd-black""></i>SSD 512 GB</span><span data-title=""Trọng lượng""><i class=""icon-weight""></i>1 kg</span></div>"
Asus TUF Gaming FX507ZC4-HN095W i5 12500H,https://images.fpt.shop/unsafe/fit-in/filters:quality(90):fill(white):upscale()/fptshop.com.vn/Uploads/Originals/2023/7/4/638240754677083179_asus-tuf-gaming-fx507-xam-1.jpg,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-fx507zc4-hn095w-i5-12500h,fpt,20990000,24990000,"<div class=""cdt-product__config__param""><span data-title=""Đồ họa""><i class=""icon-vga""></i>NVIDIA GeForce RTX 3050 4GB</span><span data-title=""Màn hình""><i class=""icon-screen-size""></i>15.6 inch</span><span data-title=""CPU""><i class=""icon-cpu""></i>Core i5</span><span data-title=""RAM""><i class=""icon-ram""></i>16 GB (2 thanh 8 GB)</span><span data-title=""Ổ cứng""><i class=""icon-hdd-black""></i>SSD 512 GB</span><span data-title=""Trọng lượng""><i class=""icon-weight""></i>2.2 kg</span></div>"
Lenovo Ideapad 3 15IAU7 i7 1255U (82RK00W4VN),https://images.fpt.shop/unsafe/fit-in/filters:quality(90):fill(white):upscale()/fptshop.com.vn/Uploads/Originals/2023/8/18/638279529097831326_lenovo-ideapad-3-15iau7-xam-1.jpg,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-3-15iau7-i7-1255u,fpt,14990000,17490000,"<div class=""cdt-product__config__param""><span data-title=""Đồ họa""><i class=""icon-vga""></i>Intel Iris Xe Graphics</span><span data-title=""Màn hình""><i class=""icon-screen-size""></i>15.6 inch</span><span data-title=""CPU""><i class=""icon-cpu""></i>Core i7</span><span data-title=""RAM""><i class=""icon-ram""></i>16 GB</span><span data-title=""Ổ cứng""><i class=""icon-hdd-black""></i>SSD 512 GB</span><span data-title=""Trọng lượng""><i class=""icon-weight""></i>1.63 kg</span></div>"
MSI Modern 14 C7M-220VN R5 7530U,https://images.fpt.shop/unsafe/fit-in/filters:quality(90):fill(white):upscale()/fptshop.com.vn/Uploads/Originals/2023/8/14/638276090577856519_msiI-modern-14-c7m-221vn-r7-7730u-1.jpg,https://fptshop.com.vn/may-tinh-xach-tay/msi-modern-14-c7m-220vn-r5-7530u,fpt,9490000,11990000,"<div class=""cdt-product__config__param""><span data-title=""Đồ họa""><i class=""icon-vga""></i>AMD Radeon Graphics</span><span data-title=""Màn hình""><i class=""icon-screen-size""></i>14.0 inch</span><span data-title=""CPU""><i class=""icon-cpu""></i>Ryzen 5</span><span data-title=""RAM""><i class=""icon-ram""></i>8 GB</span><span data-title=""Ổ cứng""><i class=""icon-hdd-black""></i>SSD 512 GB</span><span data-title=""Trọng lượng""><i class=""icon-weight""></i>1.4 kg</span></div>"
