Product,Img,Product Url,Shop,Price,Old Price,Specs,Status
Laptop Dell Latitude 3430 L3430I58G256SSD (i5 1235U/ 8GB/ 256GB SSD/14 inch/NoOS/ Black/1Y),https://phucanhcdn.com/media/product/250_54480_20.jpg,/laptop-dell-latitude-3430-l3430i58g256ssd.html,phucanh,14990000,16990000,i5 1235U/ 8GB/ 256GB SSD/14 inch/NoOS/ Black/1Y,Có hàng
Laptop HP 15s fq5160TU 7C0S1PA (i5 1235U/ 16GB/ 512GB SSD/15.6 inch FHD/Win11/ Bạc),https://phucanhcdn.com/media/product/250_50231_laptop_hp_15s_fq5160tu_7c0s1pa_thumb.jpg,/laptop-hp-15s-fq5160tu-7c0s1pa.html,phucanh,15990000,17690000,i5 1235U/ 16GB/ 512GB SSD/15.6 inch FHD/Win11/ Bạc,Có hàng
Laptop HP 14s dq5122TU 8W356PA (i3 1215U/ 8GB/ 256GB SSD/14 inch FHD/Win11/ Silver),https://phucanhcdn.com/media/product/250_52887_laptop_hp_14s_dq5122tu_8w356pa_thumb.jpg,/laptop-hp-14s-dq5122tu-8w356pa.html,phucanh,10390000,10990000,i3 1215U/ 8GB/ 256GB SSD/14 inch FHD/Win11/ Silver,Có hàng
Laptop Lenovo IdeaPad Slim 3 14IAH8 (i5 12450H/ 16GB/ 512GB SSD/14 inch FHD/Win11/ Arctic Grey/2Y),https://phucanhcdn.com/media/product/250_52949_laptop_lenovo_ideapad_slim_3_14iah8_83eq0005vn_h1.jpg,/laptop-lenovo-ideapad-slim-3-14iah8-83eq0005vn.html,phucanh,13990000,15490000,i5 12450H/ 16GB/ 512GB SSD/14 inch FHD/Win11/ Arctic Grey/2Y,Có hàng
Laptop HP 14s dq5121TU 8W355PA (i3 1215U/ 8GB/ 512GB SSD/14 inch FHD/Win11/ Silver),https://phucanhcdn.com/media/product/250_52888_lap_hp_14sdq5121tu8w355pa_thumb.jpg,/laptop-hp-14s-dq5121tu-8w355pa.html,phucanh,10890000,-1,i3 1215U/ 8GB/ 512GB SSD/14 inch FHD/Win11/ Silver,Có hàng
Laptop HP Pavilion 15-eg3093TU 8C5L4PA (i5 1335U/ 16GB/ 512GB SSD/15.6 inch FHD/Win11/ Gold/ Vỏ nhôm),https://phucanhcdn.com/media/product/250_52093_laptop_hp_pavilion_15_eg3093tu_8c5l4pa_thumb.jpg,/laptop-hp-pavilion-15-eg3093tu-8c5l4pa.html,phucanh,19290000,20090000,i5 1335U/ 16GB/ 512GB SSD/15.6 inch FHD/Win11/ Gold/ Vỏ nhôm,Có hàng
Laptop HP 15s fq5228TU 8U240PA (i3 1215U/ 8GB/ 512GB SSD/15.6 inch FHD/Win11/ Blue),https://phucanhcdn.com/media/product/250_52845_1000x1000_th_____ng__1_.jpg,/laptop-hp-15s-fq5228tu-8u240pa.html,phucanh,10890000,-1,i3 1215U/ 8GB/ 512GB SSD/15.6 inch FHD/Win11/ Blue,Có hàng
Laptop Dell Inspiron 3530 N3530I716W1 (i7 1355U/ 16GB/ 512GB SSD/ MX550 2GB/ 15.6 inch FHD/Win 11/ Office/ Silver/1Y),https://phucanhcdn.com/media/product/250_52009_1000x1000_th_____ng__1_.jpg,/laptop-dell-inspiron-3530-n3530i716w1.html,phucanh,22490000,25990000,i7 1355U/ 16GB/ 512GB SSD/ MX550 2GB/ 15.6 inch FHD/Win 11/ Office/ Silver/1Y,Có hàng
Laptop Dell Inspiron 3520 N5I5011W1 (i5 1235U/ 16GB/ 512GB SSD/15.6 inch FHD/Win 11/ Office/ Black/1Y),https://phucanhcdn.com/media/product/250_54138_laptop_dell_inspiron_3520_n5i5011w1_hinh1.jpg,/laptop-dell-inspiron-3520-n5i5011w1.html,phucanh,14990000,16990000,i5 1235U/ 16GB/ 512GB SSD/15.6 inch FHD/Win 11/ Office/ Black/1Y,Có hàng
Laptop Lenovo V14 G4 IRU (i5 13420H/ 16GB/ 512GB SSD/14 inch FHD/NoOS/ Black/1Y),https://phucanhcdn.com/media/product/250_54793_laptop_lenovo_v14_g4_iru_83a0a09kvn_thumb123.jpg,/laptop-lenovo-v14-g4-iru-83a0a09kvn.html,phucanh,12790000,13490000,i5 13420H/ 16GB/ 512GB SSD/14 inch FHD/NoOS/ Black/1Y,Có hàng
