Product,Product img,Product Url,Price,Old Price,Specs
HP 245 G10 R5-7520U (9H8X8PT),https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/8/22/638283012469903137_hp-245-g10-bac-dd.jpg,https://fptshop.com.vn/may-tinh-xach-tay/hp-245-g10-r5-7520u-9h8x8pt,10.790.000 ₫,13.290.000 ₫,14 inchRyzen 58 GB (1 thanh 8 GB)SSD 256 GB1.36 kg
Asus Vivobook E1404FA-NK186W R5 7520U,https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2023/4/19/638175171985162982_asus-vivobook-e1404fa-nk186w-r5-7520u-den-dd-moi.jpg,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-e1404fa-nk186w-r5-7520u,12.490.000 ₫,14.990.000 ₫,AMD Radeon Graphics14.0 inchRyzen 516 GBSSD 512 GB1.3 kg
Lenovo Gaming LOQ - 15IAX9 i5 12450HX  (83GS000GVN),https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/fptshop.com.vn/Uploads/Originals/2024/2/15/638435905526202438_lenovo-gaming-loq-15iax-9-i5-12450hx-led-trang-dd.jpg,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-gaming-loq-15iax-9-i5-12450hx,19.290.000 ₫,21.490.000 ₫,NVIDIA GeForce RTX 2050 4GB GDDR615.6 inchCore i516 GB (2 thanh 8 GB)SSD 512 GB2.38 kg
HP 14s-em0086AU R5 7520U (835T9PA),,https://fptshop.com.vn/may-tinh-xach-tay/hp-14s-em0086au-r5-7520u,13.690.000 ₫,15.190.000 ₫,AMD Radeon Graphics14 inchRyzen 516 GBSSD 512 GB1.4 kg
MSI Modern 14 C7M-221VN R7 7730U,,https://fptshop.com.vn/may-tinh-xach-tay/msiI-modern-14-c7m-221vn-r7-7730u,11.490.000 ₫,14.490.000 ₫,none
Acer Aspire 3 A315-44P-R5QG R7-5700U,,https://fptshop.com.vn/may-tinh-xach-tay/acer-aspire-3-a315-44p-r5qg-r7-5700u,12.990.000 ₫,14.990.000 ₫,AMD Radeon Graphics15.6 inchRyzen 716 GBSSD 512 GB1.7 kg
HP Pavilion Aero 13-be2098AU R7 7735U (8C5K5PA),,https://fptshop.com.vn/may-tinh-xach-tay/hp-pavilion-aero-13-be2098au-r7-7735u,19.690.000 ₫,21.990.000 ₫,AMD Radeon Graphics13.3 inchRyzen 716 GB (1 thanh 16 GB)SSD 512 GB1 kg
Asus TUF Gaming FX507ZC4-HN095W i5 12500H,,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-fx507zc4-hn095w-i5-12500h,20.990.000 ₫,24.990.000 ₫,NVIDIA GeForce RTX 3050 4GB15.6 inchCore i516 GB (2 thanh 8 GB)SSD 512 GB2.2 kg
Lenovo Ideapad 3 15IAU7 i7 1255U (82RK00W4VN),,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-3-15iau7-i7-1255u,14.990.000 ₫,17.490.000 ₫,Intel Iris Xe Graphics15.6 inchCore i716 GBSSD 512 GB1.63 kg
MSI Modern 14 C7M-220VN R5 7530U,,https://fptshop.com.vn/may-tinh-xach-tay/msi-modern-14-c7m-220vn-r5-7530u,9.490.000 ₫,11.990.000 ₫,AMD Radeon Graphics14.0 inchRyzen 58 GBSSD 512 GB1.4 kg
Asus TUF Gaming FX506HF-HN017W i5 11400H,,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-fx506hf-hn017w-i5-11400h,17.490.000 ₫,19.990.000 ₫,NVIDIA GeForce RTX 2050 4GB15.6 inchCore i516 GB (2 thanh 8 GB)SSD 512 GB2.3 kg
Dell Inspiron 15 N3530 i5 1335U (N5I5489W1),,https://fptshop.com.vn/may-tinh-xach-tay/dell-inspiron-15-n3530-i5-1335u,20.290.000 ₫,22.090.000 ₫,NVIDIA GeForce MX550 2GB15.6 inchCore i516 GB (2 thanh 8 GB)SSD 512 GB1.66 kg
Asus Vivobook X1404ZA-NK387W i3 1215U,,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-x1404za-nk387w-i3-1215u,9.990.000 ₫,11.990.000 ₫,Intel UHD Graphics14 inchCore i38 GB (1 thanh 8 GB)SSD 512 GB1.4 kg
Lenovo IdeaPad 3 14IAH8 i5 12450H (83EQ0005VN),,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-3-14iah8-i5-12450h,13.490.000 ₫,15.490.000 ₫,Intel UHD Graphics14.0 inchCore i516 GB (2 thanh 8 GB)SSD 512 GB1.37 kg
MSI Gaming Thin GF63 12VE-454VN i5 12450H,,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-thin-gf63-12ve-454vn-i5-12450h,22.490.000 ₫,22.990.000 ₫,NVIDIA GeForce RTX 4050 6GB GDDR615.6 inchCore i516 GBSSD 512 GB1.86 kg
Dell Inspiron 15 N3520 i5 1235U_N5I5011W1,,https://fptshop.com.vn/may-tinh-xach-tay/laptop-dell-inspiron-15-n3520-i5-1235u1-n5i5011w1,16.490.000 ₫,16.990.000 ₫,Intel Iris Xe Graphics15.6 inchCore i516 GBSSD 512 GB1.9 kg
Asus Vivobook 15 OLED A1505VA-L1113W i5 13500H,,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-a1505va-l1113w-i5-13500h,17.990.000 ₫,19.990.000 ₫,Intel UHD Graphics15.6 inchCore i516 GBSSD 512 GB1.7 kg
HP 245 G10 R5 7520U (8F154PA),,https://fptshop.com.vn/may-tinh-xach-tay/hp-245-g10-r5-7520u,10.790.000 ₫,13.290.000 ₫,none
Acer Aspire 7 Gaming A715-76-57CY i5 12450H (NH.QGESV.004),,https://fptshop.com.vn/may-tinh-xach-tay/acer-aspire-7-gaming-a715-76-57cy-i5-12450h,12.990.000 ₫,16.990.000 ₫,Intel UHD Graphics15.6 inchCore i58 GBSSD 512 GB2.1 kg
