Product,Product Url,Price,Old Price,Status
Laptop HP 14s dq5122TU 8W356PA (Core i3 1215U/ 8GB/ 256GB SSD/ Intel UHD Graphics/ 14.0inch Full HD/ Windows 11 Home/ Silver),/laptop-hp-14s-dq5122tu-8w356pa.html,9.990.000 ₫,10.990.000 ₫,Có hàng
"Laptop Lenovo IdeaPad Slim 3 14IAH8 (Core i5 12450H/ 16GB/ 512GB SSD/ Intel UHD Graphics/ 14.0inch Full HD/ Windows 11 Home/ Arctic Grey/ PC + ABS (Top), PC + ABS (Bottom)/ 2 Year)",/laptop-lenovo-ideapad-slim-3-14iah8-83eq0005vn.html,13.990.000 ₫,15.490.000 ₫,Có hàng
Laptop Lenovo ThinkPad E15 GEN 4 21E600FBVA (Core i5 1235U/ 16GB/ 512GB SSD/ Intel Iris Xe Graphics/ 15.6inch Full HD/ NoOS/ Black/ Aluminium/ 2 Year),/laptop-lenovo-thinkpad-e15-gen-4-21e600fbva.html,16.590.000 ₫,18.990.000 ₫,Có hàng
Laptop Dell Inspiron 3520 N5I5011W1 (Core i5 1235U/ 16GB/ 512GB SSD/ Intel UHD Graphics/ 15.6inch Full HD/ Windows 11 Home + Office Student/ Black/ Vỏ nhựa/ 1 Year),/laptop-dell-inspiron-3520-n5i5011w1.html,14.990.000 ₫,16.990.000 ₫,Có hàng
Laptop HP 15s fq5160TU 7C0S1PA (Core i5 1235U/ 16GB/ 512GB SSD/ Intel Iris Xe Graphics/ 15.6inch Full HD/ Windows 11 Home/ Bạc),/laptop-hp-15s-fq5160tu-7c0s1pa.html,15.690.000 ₫,17.690.000 ₫,Có hàng
Laptop HP 15s fq5228TU 8U240PA (Core i3 1215U/ 8GB/ 512GB SSD/ Intel UHD Graphics/ 15.6inch Full HD/ Windows 11 Home/ Blue),/laptop-hp-15s-fq5228tu-8u240pa.html,10.490.000 ₫,,Có hàng
Laptop HP 14s dq5121TU 8W355PA (Core i3 1215U/ 8GB/ 512GB SSD/ Intel UHD Graphics/ 14.0inch Full HD/ Windows 11 Home/ Silver),/laptop-hp-14s-dq5121tu-8w355pa.html,10.990.000 ₫,,Có hàng
Laptop HP Pavilion 15-eg3093TU 8C5L4PA (Core i5 1335U/ 16GB/ 512GB SSD/ Intel Iris Xe Graphics/ 15.6inch Full HD/ Windows 11 Home/ Gold/ Hợp kim nhôm),/laptop-hp-pavilion-15-eg3093tu-8c5l4pa.html,18.590.000 ₫,20.090.000 ₫,Có hàng
Laptop Dell Latitude 3430 L3430I58G256SSD (Core i5 1235U/ 8GB/ 256GB SSD/ Intel Iris Xe Graphics/ 14.0inch/ NoOS/ Black/ 1 Year),/laptop-dell-latitude-3430-l3430i58g256ssd.html,15.290.000 ₫,16.990.000 ₫,Có hàng
Laptop Dell Inspiron 3530 N3530I716W1 (Core i7 1355U/ 16GB/ 512GB SSD/ Nvidia GeForce MX550 2GB GDDR6/ 15.6inch Full HD/ Windows 11 Home + Office Student/ Silver/ Vỏ nhựa/ 1 Year),/laptop-dell-inspiron-3530-n3530i716w1.html,22.490.000 ₫,25.990.000 ₫,Có hàng
Laptop Asus Vivobook 14 OLED A1405VA-KM095W (Core i5 13500H/ 16GB/ 512GB SSD/ Intel Iris Xe Graphics/ 14.0inch 2.8K/ Windows 11 Home/ Silver/ Chuột),/laptop-tay-asus-vivobook-14-oled-a1405va-km095w.html,17.590.000 ₫,20.990.000 ₫,Có hàng
Laptop Dell Vostro 3430 71011900 (Core i5 1335U/ 8GB/ 512GB SSD/ Intel Iris Xe Graphics/ 14.0inch Full HD/ Windows 11 Home + Office Student/ Titan Grey/ 1 Year),/laptop-dell-vostro-3420-71003348-core-i5-1335u-8gb-512gb-ssd-intel-iris-xe-graphics-140inch-full-hd-windows-11-home-office-student-titan-grey-1-year.html,15.990.000 ₫,17.890.000 ₫,Có hàng
Laptop Asus Vivobook 15 OLED A1505VA-L1114W (Core i5 13500H/ 16GB/ 512GB SSD/ Intel Iris Xe Graphics/ 15.6inch FHD OLED/ Windows 11 Home/ Black),/laptop-asus-vivobook-15-oled-a1505va-l1114w.html,17.490.000 ₫,20.990.000 ₫,Có hàng
